sample	age	phenotype_age
SP0839	29	28.4217666666667
SP0840	32	25.5139666666667
SP0841	40	37.2444
SP0842	57	48.0634666666667
SP0843	49	47.1365333333334
SP0844	18	32.5134
SP0845	18	24.3066333333333
SP0846	18	28.8095
SP0847	21	26.3896666666667
SP0848	30	31.902
SP0849	32	25.8612
SP0850	36	27.8995333333333
SP0851	33	31.8126666666667
SP0852	37	24.7919
SP0853	30	28.7952333333333
SP0854	32	27.2028
SP0855	37	27.1546
SP0856	31	40.7489666666667
SP0857	19	20.6839666666667
SP0858	30	30.6841
SP0859	34	27.8199333333333
SP0860	25	40.1172
SP0861	30	23.3616
SP0862	24	29.5810333333333
SP0863	23	27.1717
SP0864	28	24.6495
SP0865	27	30.4479
SP0866	26	24.9921666666667
SP0867	29	36.0448
SP0868	31	27.4100333333333
SP0869	32	27.2494666666667
SP0870	28	26.4875
SP0871	48	34.2511
SP0872	22	36.9408333333333
SP0873	45	33.9572333333333
SP0874	25	23.0946666666667
SP0875	24	23.8472333333333
SP0876	21	30.2055
SP0877	22	25.9874666666667
SP0878	22	31.3750666666667
SP0879	26	25.5505
SP0880	36	30.3491333333333
SP0881	43	31.3178666666667
SP0882	20	23.6148
SP0883	26	28.1243666666667
SP0884	26	34.974
SP0885	20	23.5419
SP0886	33	22.8537666666667
SP0887	25	27.0139333333333
SP0888	21	26.0475666666667
SP0889	23	22.8278333333333
SP0890	21	26.2356
SP0891	40	39.6041
SP0892	23	27.4569333333333
SP0893	19	22.5557666666667
SP0894	32	34.8417666666667
SP0895	25	23.1695666666667
SP0896	21	27.3345666666667
SP0897	21	24.9171666666667
SP0898	21	23.4362666666667
SP0899	25	34.2596
SP0900	28	24.6929
SP0901	24	22.9414333333334
SP0902	25	29.4135666666667
SP0903	23	22.4175
SP0904	25	26.2726333333333
SP0905	28	30.8265666666667
SP0906	23	23.5596666666667
SP0907	33	25.1858333333333
SP0908	34	23.2056333333334
SP0909	26	27.6097
SP0910	24	22.8721666666667
SP0911	29	30.8543333333333
SP0912	34	46.4531666666667
SP0913	45	31.3752333333333
SP0914	22	35.6512
SP0915	36	36.8212
SP0916	37	46.92
SP0917	49	37.9787
SP0918	32	25.0491666666667
SP0919	35	24.4514666666667
SP0920	46	35.0809333333333
SP0921	36	31.7653666666667
SP0922	35	33.3206666666667
SP0923	32	23.411
SP0924	50	38.5199
SP0925	57	38.9898333333334
SP0926	46	29.0178333333333
SP0927	24	29.5984333333333
SP0928	31	27.8279
SP0929	34	25.2325333333333
SP0930	24	24.0046
SP0931	24	24.7179666666667
SP0932	25	27.5226666666667
SP0933	27	28.8140666666667
SP0934	28	30.3590666666666
SP0935	34	37.8967666666667
SP0936	30	27.4469333333333
SP0937	23	27.5011
SP0938	29	23.3814
SP0939	28	29.9878
SP0940	30	24.6734333333333
SP0941	40	27.8400333333333
SP0942	53	39.1413666666667
SP0943	43	30.7558
SP0944	44	32.8455
SP0945	31	39.8576
SP0946	24	24.7105
SP0947	23	31.0192333333333
SP0948	23	22.7156
SP0949	24	26.3929
SP0950	24	22.0921
SP0951	23	28.8356333333334
SP0952	25	27.7590333333333
SP0953	23	22.2424666666667
SP0954	60	53.0575333333333
SP0955	38	26.8273
SP0956	55	52.5066666666667
SP0957	22	21.6562333333333
SP0958	42	29.6790666666667
SP0959	52	42.6009
SP0960	25	29.4332666666667
SP0961	27	28.5680333333333
SP0962	26	22.795
SP0963	24	30.5999333333333
SP0964	25	31.1041666666667
SP0965	24	23.6171333333333
SP0966	24	24.6294333333333
SP0967	30	28.8592333333333
SP0968	30	24.0268666666667
SP0969	30	28.1644333333333
SP0970	32	28.4698
SP0971	28	27.0164666666666
SP0972	32	28.2185666666667
SP0973	57	33.8705666666667
SP0974	35	26.5769333333333
SP0975	32	31.0482333333334
SP0976	21	24.0457333333333
SP0977	21	24.3525666666667
SP0978	25	24.1003666666667
SP0979	24	23.3260666666667
SP0980	28	24.8105
SP0981	28	28.8205333333333
SP0982	24	26.9803333333333
SP0983	25	24.4042333333333
SP0984	24	21.1764
SP0985	36	29.8857333333333
SP0986	22	23.1300666666667
SP0987	23	33.4459666666667
SP0988	25	24.0411333333333
SP0989	25	23.5964333333333
SP0990	22	24.1972
